
Peugeot 307	23-07-2017	383,92	48,11	856,7
Peugeot 307	08-08-2017	451,3	53,79	906,2
Peugeot 307	17-08-2017	424,48	54,49	937,8
Peugeot 307	25-08-2017	402,82	51,71	913,4
Peugeot 307	02-09-2017	400,78	49,54	895
Peugeot 307	08-09-2017	487,22	56,72	902,1
Peugeot 307	17-09-2017	464,06		977,3
Peugeot 307	21-09-2017	429,65	52,46	913,9
Peugeot 307	29-09-2017			886,3
Hyundai I30	11-10-2017			740
Hyundai I30	21-10-2017	358,2	41,7	649,9
Hyundai I30	27-10-2017	384,21	43,71	752,2
Hyundai I30	02-11-2017	362,7	43,23	708,8
Hyundai I30	10-11-2017	356,7	42,77	727,2
Hyundai I30	17-11-2017	373,58	45,01	734,5
Hyundai I30	25-11-2017	343,51	40,46	618,3
Hyundai I30	30-11-2017	370,08	44,11	691,9
Hyundai I30	05-12-2017	366,39	43,67	701,4
Hyundai I30	11-12-2017	364,88	43,49	
Hyundai I30	17-12-2017	394,62	45,94	738,4
Hyundai I30	25-12-2017	338,88	39,45	592
Hyundai I30	28-12-2017	313,68	34,97	502,3
Hyundai I30	03-01-2018	357,29	40,88	629,4
Hyundai I30	10-01-2018	371,93	42,8	688,7
Hyundai I30	18-01-2018	388,49	43,7	663
Hyundai I30	24-01-2018	333,8	39,55	639,9
Hyundai I30	02-02-2018	373,12	43,64	690,3
Hyundai I30	08-02-2018	379,25	44,67	682,6
Hyundai I30	11-02-2018	346	41,24	641,3
Hyundai I30	16-02-2018	347,41	40,68	673,1
Hyundai I30	22-02-2018	392,4	46,77	718,8
Hyundai I30	02-03-2018	382,93	44,63	723,9
Hyundai I30	06-03-2018	332,55	39,17	580,7
Hyundai I30	14-03-2018	378,85	45,7	756
Hyundai I30	21-03-2018	304,82		717,1
Hyundai I30	27-03-2018	363,49	43,48	562,2
Hyundai I30	03-04-2018	369,97	42,09	663,6
Hyundai I30	10-04-2018	397,53	46,44	718,1
Hyundai I30	18-04-2018	397,1	43,21	502,8
Hyundai I30	26-04-2018	421,64	44,43	713,1
Hyundai I30	02-05-2018	331,62		
Hyundai I30	09-05-2018	406,9		636,7
Hyundai I30	13-05-2018	436,72	47,01	726,5
Hyundai I30	19-05-2018	453,62	47,8	787,9
Hyundai I30	23-05-2018	454,06	46,38	817,9
Hyundai I30	30-05-2018	407,37	43,43	766,5
Hyundai I30	06-06-2018	389,43	42,01	643,3
Hyundai I30	14-06-2018	394,39	43,15	766
Hyundai I30	22-06-2018	397,42	42,1	743,3
Hyundai I30	29-06-2018	331,76	36,1	608
Hyundai I30	08-07-2018	419,57	44,54	780
Hyundai I30	14-07-2018	325,02	35,56	624,8
Hyundai I30	22-07-2018	355,33	39,09	655,9
Hyundai I30	30-07-2018	428,58	44,69	766,5
Hyundai I30	07-08-2018	386,23	42,49	432,3
Hyundai I30	13-08-2018	389,47	42,38	788,2
